	SIZ	WEI	SPE	INT	AFF	AGR
bass	small	light	slow	low	low	high
beau	big	med	fast	med	high	high
boxe	med	med	med	med	high	high
buld	small	light	slow	med	high	low
bulm	big	heavy	slow	high	low	high
cani	small	light	med	high	high	low
chih	small	light	slow	low	high	low
cock	med	light	slow	med	high	high
coll	big	med	fast	med	high	low
dalm	med	med	med	med	high	low
dobe	big	med	fast	high	low	high
dogo	big	heavy	fast	low	low	high
foxh	big	med	fast	low	low	high
foxt	small	light	med	med	high	high
galg	big	med	fast	low	low	low
gasc	big	med	med	low	low	high
labr	med	med	med	med	high	low
masa	big	med	fast	high	high	high
mast	big	heavy	slow	low	low	high
peki	small	light	slow	low	high	low
podb	med	med	med	high	high	low
podf	big	med	med	med	low	low
poin	big	med	fast	high	low	low
sett	big	med	fast	med	low	low
stbe	big	heavy	slow	med	low	high
teck	small	light	slow	med	high	low
tern	big	heavy	slow	med	low	low
